frame,time,emotion,confidence
0,0.0,neutral,80
1,0.05,neutral,73
2,0.1,neutral,74
3,0.15,neutral,78
4,0.2,neutral,92
5,0.25,neutral,92
6,0.3,neutral,90
7,0.35,neutral,88
8,0.4,neutral,81
9,0.45,neutral,88
10,0.5,neutral,87
11,0.55,neutral,82
12,0.6,neutral,84
13,0.65,neutral,90
14,0.7,neutral,90
15,0.75,neutral,80
16,0.8,neutral,88
17,0.85,neutral,86
18,0.9,neutral,93
19,0.95,neutral,91
20,1.0,neutral,87
21,1.05,neutral,87
22,1.1,neutral,75
23,1.15,neutral,77
24,1.2,neutral,71
25,1.25,neutral,63
26,1.3,neutral,56
27,1.35,neutral,67
28,1.4,neutral,65
29,1.45,neutral,78
30,1.5,neutral,85
31,1.55,neutral,88
32,1.6,neutral,87
33,1.65,neutral,91
34,1.7,neutral,91
35,1.75,neutral,92
36,1.8,neutral,89
37,1.85,neutral,87
38,1.9,neutral,87
39,1.95,neutral,85
40,2.0,neutral,91
41,2.05,neutral,87
42,2.1,neutral,83
43,2.15,neutral,54
44,2.2,happy,55
45,2.25,happy,61
46,2.3,happy,63
47,2.35,happy,61
48,2.4,happy,77
49,2.45,happy,50
50,2.5,happy,56
51,2.55,happy,66
52,2.6,happy,66
53,2.65,happy,65
54,2.7,happy,75
55,2.75,happy,77
56,2.8,happy,75
57,2.85,happy,84
58,2.9,happy,89
59,2.95,happy,82
60,3.0,happy,75
61,3.05,happy,72
62,3.1,happy,74
63,3.15,happy,66
64,3.2,happy,59
65,3.25,happy,72
66,3.3,happy,79
67,3.35,happy,85
68,3.4,happy,84
69,3.45,none,0
70,3.5,none,0
71,3.55,none,0
72,3.6,none,0
73,3.65,none,0
74,3.7,none,0
75,3.75,none,0
76,3.8,none,0
77,3.85,none,0
78,3.9,none,0
79,3.95,happy,67
80,4.0,happy,64
81,4.05,happy,80
82,4.1,happy,69
83,4.15,neutral,57
84,4.2,neutral,81
85,4.25,neutral,82
86,4.3,neutral,90
87,4.35,neutral,88
88,4.4,neutral,90
89,4.45,neutral,94
90,4.5,neutral,95
91,4.55,neutral,95
92,4.6,neutral,94
93,4.65,neutral,94
94,4.7,neutral,90
95,4.75,neutral,92
96,4.8,neutral,90
97,4.85,neutral,90
98,4.9,neutral,87
99,4.95,neutral,85
100,5.0,neutral,77
101,5.05,neutral,82
102,5.1,neutral,78
103,5.15,neutral,85
104,5.2,neutral,88
105,5.25,neutral,91
106,5.3,neutral,91
107,5.35,neutral,96
108,5.4,neutral,94
109,5.45,neutral,95
110,5.5,neutral,96
111,5.55,neutral,95
112,5.6,neutral,92
113,5.65,none,0
114,5.7,neutral,56
115,5.75,neutral,76
116,5.8,neutral,73
117,5.85,neutral,76
118,5.9,neutral,82
119,5.95,neutral,81
120,6.0,none,0
121,6.05,sad,43
122,6.1,neutral,62
123,6.15,surprise,42
124,6.2,surprise,39
125,6.25,surprise,35
126,6.3,sad,52
127,6.35,neutral,47
128,6.4,neutral,62
129,6.45,neutral,83
130,6.5,neutral,83
131,6.55,neutral,77
132,6.6,neutral,77
133,6.65,neutral,72
134,6.7,neutral,63
135,6.75,neutral,68
136,6.8,neutral,71
137,6.85,neutral,88
138,6.9,neutral,88
139,6.95,neutral,91
140,7.0,neutral,90
141,7.05,neutral,88
142,7.1,neutral,92
143,7.15,neutral,93
144,7.2,neutral,94
145,7.25,none,0
146,7.3,angry,52
147,7.35,angry,38
148,7.4,none,0
149,7.45,neutral,84
150,7.5,neutral,87
151,7.55,neutral,88
152,7.6,neutral,87
153,7.65,neutral,85
154,7.7,neutral,87
155,7.75,neutral,97
156,7.8,neutral,94
157,7.85,neutral,87
158,7.9,neutral,94
159,7.95,neutral,94
160,8.0,neutral,91
161,8.05,neutral,91
162,8.1,neutral,91
163,8.15,neutral,82
164,8.2,neutral,82
165,8.25,neutral,87
166,8.3,neutral,90
167,8.35,neutral,90
168,8.4,neutral,88
169,8.45,neutral,85
170,8.5,neutral,84
171,8.55,neutral,84
172,8.6,neutral,80
173,8.65,neutral,70
174,8.7,neutral,71
175,8.75,neutral,61
176,8.8,neutral,72
177,8.85,neutral,79
178,8.9,neutral,76
179,8.95,neutral,65
180,9.0,neutral,56
181,9.05,neutral,70
182,9.1,neutral,74
183,9.15,neutral,77
184,9.2,neutral,44
185,9.25,neutral,45
186,9.3,neutral,41
187,9.35,angry,43
188,9.4,angry,42
189,9.45,angry,42
190,9.5,angry,37
191,9.55,neutral,38
192,9.6,neutral,37
193,9.65,angry,43
194,9.7,neutral,41
195,9.75,angry,43
196,9.8,angry,45
197,9.85,angry,41
198,9.9,angry,40
199,9.95,neutral,43
200,10.0,angry,37
201,10.05,neutral,37
202,10.1,neutral,46
203,10.15,neutral,57
204,10.2,neutral,60
205,10.25,neutral,41
206,10.3,neutral,53
207,10.35,neutral,57
208,10.4,neutral,73
209,10.45,neutral,54
210,10.5,neutral,55
211,10.55,neutral,43
212,10.6,neutral,50
213,10.65,neutral,53
214,10.7,neutral,61
215,10.75,neutral,54
216,10.8,neutral,63
217,10.85,neutral,50
218,10.9,neutral,42
219,10.95,neutral,64
220,11.0,neutral,42
221,11.05,neutral,35
222,11.1,happy,34
223,11.15,angry,40
224,11.2,happy,52
