frame,time,direction
0,0.0,blinking
1,0.05,blinking
2,0.1,unknown
3,0.15,unknown
4,0.2,unknown
5,0.25,unknown
6,0.3,blinking
7,0.35,blinking
8,0.4,unknown
9,0.45,blinking
10,0.5,blinking
11,0.55,blinking
12,0.6,blinking
13,0.65,blinking
14,0.7,blinking
15,0.75,blinking
16,0.8,blinking
17,0.85,unknown
18,0.9,unknown
19,0.95,blinking
20,1.0,blinking
21,1.05,blinking
22,1.1,blinking
23,1.15,blinking
24,1.2,unknown
25,1.25,unknown
26,1.3,unknown
27,1.35,unknown
28,1.4,unknown
29,1.45,blinking
30,1.5,center
31,1.55,center
32,1.6,unknown
33,1.65,unknown
34,1.7,unknown
35,1.75,unknown
36,1.8,unknown
37,1.85,unknown
38,1.9,unknown
39,1.95,unknown
40,2.0,unknown
41,2.05,unknown
42,2.1,unknown
43,2.15,unknown
44,2.2,unknown
45,2.25,unknown
46,2.3,unknown
47,2.35,unknown
48,2.4,unknown
49,2.45,unknown
50,2.5,unknown
51,2.55,unknown
52,2.6,unknown
53,2.65,unknown
54,2.7,unknown
55,2.75,unknown
56,2.8,unknown
57,2.85,unknown
58,2.9,unknown
59,2.95,unknown
60,3.0,unknown
61,3.05,unknown
62,3.1,unknown
63,3.15,unknown
64,3.2,unknown
65,3.25,unknown
66,3.3,unknown
67,3.35,unknown
68,3.4,unknown
69,3.45,unknown
70,3.5,unknown
71,3.55,unknown
72,3.6,unknown
73,3.65,unknown
74,3.7,unknown
75,3.75,unknown
76,3.8,unknown
77,3.85,unknown
78,3.9,unknown
79,3.95,unknown
80,4.0,unknown
81,4.05,unknown
82,4.1,unknown
83,4.15,unknown
84,4.2,unknown
85,4.25,unknown
86,4.3,unknown
87,4.35,unknown
88,4.4,unknown
89,4.45,left
90,4.5,blinking
91,4.55,left
92,4.6,unknown
93,4.65,unknown
94,4.7,unknown
95,4.75,unknown
96,4.8,blinking
97,4.85,blinking
98,4.9,blinking
99,4.95,blinking
100,5.0,blinking
101,5.05,blinking
102,5.1,unknown
103,5.15,unknown
104,5.2,unknown
105,5.25,unknown
